time,acc_x,acc_y,acc_z
2173343.285,1.424,-9.73,0.249
2173343.304,1.409,-9.735,0.258
2173343.324,1.428,-9.735,0.277
2173343.344,1.433,-9.73,0.263
2173343.364,1.419,-9.697,0.253
2173343.384,1.433,-9.735,0.268
2173343.403,1.443,-9.726,0.277
2173343.423,1.443,-9.663,0.268
2173343.443,1.471,-9.735,0.301
2173343.463,1.476,-9.706,0.334
2173343.482,1.5,-9.683,0.339
2173343.502,1.505,-9.716,0.32
2173343.522,1.462,-9.702,0.287
2173343.542,1.4,-9.687,0.292
2173343.561,1.419,-9.706,0.305
2173343.581,1.447,-9.745,0.301
2173343.601,1.467,-9.721,0.305
2173343.621,1.447,-9.678,0.292
2173343.641,1.428,-9.716,0.263
2173343.66,1.342,-9.764,0.192
2173343.68,1.226,-9.783,0.14
2173343.7,1.116,-9.802,0.092
2173343.72,1.025,-9.907,-0.026
2173343.739,0.996,-9.955,0.182
2173343.759,1.4,-9.687,0.87
2173343.779,1.822,-9.319,0.438
2173343.799,1.707,-9.247,-0.325
2173343.818,1.587,-9.735,1.026
2173343.838,2.5,-9.96,1.353
2173343.858,3.255,-9.591,0.647
2173343.878,2.654,-9.242,0.344
2173343.897,1.914,-9.285,0.652
2173343.917,1.784,-9.553,1.007
2173343.937,1.852,-9.606,1.022
2173343.957,1.948,-9.477,1.003
2173343.977,2.159,-9.414,1.107
2173343.996,2.379,-9.42,1.453
2173344.016,2.643,-9.434,1.856
2173344.036,2.979,-9.458,2.597
2173344.056,3.211,-9.381,3.146
2173344.075,2.696,-9.41,3.194
2173344.095,1.514,-9.223,3.26
2173344.115,0.438,-9.247,3.924
2173344.135,0.38,-10.506,5.157
2173344.154,0.837,-12.999,5.57
2173344.174,1.533,-14.152,5.404
2173344.194,2.038,-11.946,5.669
2173344.214,0.716,-9.879,4.726
2173344.234,-1.019,-9.649,2.36
2173344.253,-0.922,-9.535,1.923
2173344.273,0.635,-8.898,3.493
2173344.293,1.874,-8.539,4.901
2173344.313,2.095,-8.218,4.958
2173344.332,1.346,-7.223,4.109
2173344.352,0.068,-6.189,3.255
2173344.372,-0.994,-5.165,2.706
2173344.392,-0.965,-4.18,2.914
2173344.411,-0.408,-3.213,2.483
2173344.431,-0.259,-2.643,2.269
2173344.451,-0.153,-3.007,3.725
2173344.471,0.077,-4.227,6.281
2173344.491,-0.312,-5.979,8.776
2173344.51,-0.985,-7.735,9.255
2173344.53,-0.768,-7.692,7.548
2173344.55,-0.99,-7.668,7.889
2173344.57,-1.653,-8.415,8.415
2173344.589,-1.792,-9.118,7.903
2173344.609,-1.216,-8.96,7.405
2173344.629,-0.625,-7.826,7.832
2173344.649,-1.062,-6.05,7.571
2173344.668,-2.729,-5.256,4.75
2173344.688,-6.54,-10.788,8.932
2173344.708,-5.963,-27.825,7.642
2173344.728,4.656,-30.031,7.007
2173344.748,2.946,-6.596,-0.922
2173344.767,-8.995,4.574,-3.09
2173344.787,-9.889,1.061,0.491
2173344.807,1.466,-4.854,-4.844
2173344.827,5.93,-16.311,-1.771
2173344.846,10.812,-22.484,3.763
2173344.866,11.567,-15.224,1.359
2173344.886,3.109,-7.266,3.223
2173344.906,-0.72,-4.471,2.914
2173344.925,-0.01,-4.845,1.297
2173344.945,0.985,-6.084,0.894
2173344.965,1.999,-7.84,0.989
2173344.985,3.337,-9.687,1.24
2173345.004,3.837,-10.271,2.624
2173345.024,3.13,-8.462,3.279
2173345.044,2.021,-6.792,2.596
2173345.064,2.328,-6.672,1.571
2173345.084,3.741,-6.94,0.656
2173345.103,3.452,-7.5,-0.676
2173345.123,1.752,-9.194,0.851
2173345.143,0.372,-11.161,2.364
2173345.163,0.776,-9.878,2.074
2173345.182,2.569,-9.189,1.24
2173345.202,2.689,-10.768,0.741
2173345.222,2.17,-12.395,0.647
2173345.242,3.275,-13.357,1.311
2173345.261,5.62,-12.534,3.445
2173345.281,8.523,-10.974,4.436
2173345.301,9.517,-13.032,2.866
2173345.321,7.811,-15.64,1.69
2173345.341,3.448,-14.362,1.761
2173345.36,0.949,-14.114,0.504
2173345.38,-0.242,-14.869,-0.378
2173345.4,1.089,-17.736,-2.484
2173345.42,3.279,-17.291,-1.625
2173345.439,2.828,-13.272,2.14
2173345.459,0.436,-11.008,2.519
2173345.479,-0.188,-10.266,-0.492
2173345.499,0.13,-9.548,-2.413
2173345.518,0.496,-7.729,-2.195
2173345.538,1.501,-5.465,-2.133
2173345.558,1.891,-3.245,-1.821
2173345.578,1.738,-1.148,-1.375
2173345.597,0.979,-0.047,-1.413
2173345.617,0.091,0.302,-1.385
2173345.637,-0.624,0.159,-0.565
2173345.657,-1.306,-0.626,2.053
2173345.677,-0.979,-2.42,7.174
2173345.696,0.617,-7.287,13.287
2173345.716,-0.487,-17.341,14.596
2173345.736,1.527,-31.65,13.908
2173345.756,1.624,-19.49,5.267
2173345.775,-4.401,-1.74,2.791
2173345.795,-9.782,-3.817,8.719
2173345.815,-4.942,-21.298,4.93
2173345.835,8.638,-18.929,-5.138
2173345.854,6.049,-6.553,-5.371
2173345.874,-5.166,-3.82,4.313
2173345.894,-1.836,-6.538,-5.623
2173345.914,1.543,-13.181,-6.362
2173345.934,4.841,-17.976,3.065
2173345.953,9.363,-13.242,0.267
2173345.973,7.591,-9.079,-1.427
2173345.993,2.008,-8.279,0.774
2173346.013,-0.51,-7.241,2.13
2173346.032,-0.87,-6.552,2.334
2173346.052,0.447,-7.513,2.215
2173346.072,3.056,-8.83,2.002
2173346.092,3.863,-8.801,2.272
