sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
82,0.80078125,-4.104327955,1.022376447,11.01345711,50.00814708,-35.02241373,0.076279326
83,0.810546875,-3.189809337,1.471205343,9.126190739,71.42734988,-49.20611827,6.922719684
84,0.8203125,-2.154315078,2.40808164,8.033763922,81.8033398,-25.50818852,13.47402391
85,0.830078125,-0.812772299,3.517584998,6.779409866,56.67362777,-17.58665436,5.969861708
86,0.83984375,-0.969454908,4.126591253,7.101829837,40.63697173,-52.42660685,-11.69149127
87,0.849609375,0.711629579,4.729446638,7.449403186,43.14876802,-64.77820477,0.801206989
88,0.859375,0.01807285,3.498668039,9.209486381,32.77959356,-23.94702369,21.43215733
89,0.869140625,-1.166417216,2.862515552,10.25445624,24.47518407,3.744633776,35.9825615
90,0.87890625,-2.371850755,2.274653331,9.704081786,-4.380176527,40.64475756,43.92043886
91,0.888671875,-3.737760175,1.19194453,9.648953077,-26.44753555,60.39064333,47.57703803
92,0.8984375,-3.567178476,1.22779635,9.893476545,-29.63229485,46.52659251,43.07090214
93,0.908203125,-3.206590634,1.468932096,9.975195445,-32.47015833,35.3255623,39.99464176
94,0.91796875,-3.076228729,1.873362189,9.73915379,-40.72894663,35.37052517,34.70885592
95,0.927734375,-2.725545067,2.160101972,9.300954671,-54.41768634,47.28225149,30.73189558
96,0.9375,-2.943291853,2.31359095,9.549415479,-69.88858768,64.96547688,29.35676184
97,0.947265625,-3.477357101,1.714086956,9.174350545,-81.40813296,76.63744438,27.98102444
98,0.95703125,-3.396465373,1.311635368,8.641724985,-78.2608156,72.66286823,33.65870506
99,0.966796875,-3.352318734,1.635905368,9.199914929,-64.11706768,64.13420277,44.37380242
100,0.9765625,-2.77400268,2.664877326,9.630688324,-61.61320167,59.81005394,39.18980366
101,0.986328125,-2.703392802,2.047473577,9.480555023,-63.8986525,61.47530642,30.05397014
102,0.99609375,-3.537997403,1.743521915,9.69947914,-55.82452952,63.23056084,32.44571252
103,1.005859375,-4.222553678,1.270237975,10.02872308,-53.86670749,56.78561331,34.83920684
104,1.015625,-4.818641738,0.413525606,9.732917621,-55.71019196,50.90674094,35.30280059
105,1.025390625,-5.677089628,-0.343993382,9.342546108,-48.60489181,40.91254192,37.1552018
106,1.03515625,-5.966148969,-0.287449453,9.307943596,-34.341124,24.53301634,35.01242876
107,1.044921875,-5.59165643,0.280788741,9.744952926,-23.35680213,-1.443609314,36.45905122
108,1.0546875,-4.310480727,1.801759948,10.9426223,-19.9827243,-11.48549692,32.43172013
109,1.064453125,-3.702573465,2.376376586,11.16034311,-24.61832211,-10.53153467,23.28133968
110,1.07421875,-2.674097013,2.55582135,10.82901818,-25.95633933,-19.37492667,18.80214967
111,1.083984375,-1.413863477,2.440554268,10.68184665,-17.40324664,-14.67050884,15.22283325
112,1.09375,-1.735237387,1.907342939,10.86189012,-4.494364291,10.51492168,18.64621405
113,1.103515625,-0.984276397,1.617509486,10.53695012,-16.13757735,23.87449354,49.35367698
114,1.11328125,-1.812838642,1.306260532,11.09799826,-13.8461658,44.4733943,98.35597816
115,1.123046875,-2.370185259,1.894529342,11.13997872,-15.24321991,25.65713281,155.8386465
116,1.1328125,-3.519827712,1.081343131,10.27671986,-11.35631832,26.18639234,140.0682252
117,1.142578125,-5.842783204,2.338984895,10.4898505,43.17096516,51.63490232,50.24840534
118,1.15234375,-4.048314411,1.198515044,10.29942575,56.51831348,73.64381459,-86.98655597
119,1.162109375,-3.320672727,0.168423402,9.077325043,27.76864292,64.4190073,-117.517023
120,1.171875,-1.973173139,1.994398249,9.696999156,35.18875206,67.25469957,-123.8229477
121,1.181640625,-4.791474729,3.605088072,11.52133703,76.45791065,56.75689158,-124.5727639
122,1.19140625,-2.32671564,3.358442991,12.3474987,73.40988586,22.64667589,-187.3207599
123,1.201171875,0.234740228,2.723638355,11.35782517,46.55791487,4.954380599,-209.9748071
124,1.2109375,0.670457932,3.489351336,11.79483643,51.55909937,-9.494482105,-165.3986456
125,1.220703125,0.411028086,2.962571473,11.12345165,33.98658939,-35.08143583,-87.85051394
126,1.23046875,-0.162841338,3.013481645,11.02509229,21.23775206,-52.39277917,-30.85274945
127,1.240234375,-0.925094796,3.934231665,11.55884142,12.66035394,-69.75421272,21.97145991
128,1.25,-1.626656422,4.397821259,11.79237518,8.364176674,-72.52185465,36.31316179
129,1.259765625,-0.983687727,4.138079729,11.94770489,15.10086669,-64.99229998,28.35446152
130,1.26953125,-0.632644887,3.805929399,11.82392528,22.12727186,-57.30372942,26.93677281
131,1.279296875,-1.221245373,4.043417715,11.68096543,27.99788393,-50.09203945,32.17383517
132,1.2890625,-1.954326995,4.672313574,11.8586075,35.31358624,-39.78204615,30.70505985
133,1.298828125,-2.27376211,4.633656025,12.1564294,41.86477169,-35.13804777,33.34577709
134,1.30859375,-2.231686542,4.138447244,12.40894298,47.37296884,-39.13443302,34.84069944
135,1.318359375,-2.052319629,3.849225066,12.66131213,49.12391473,-51.74734485,34.31232815
136,1.328125,-2.257137568,4.055127743,12.71986062,46.52803343,-67.11196785,42.45012126
137,1.337890625,-2.875766582,4.118610826,12.54098358,44.4677791,-84.17244918,59.6529636
138,1.34765625,-3.058974852,3.679162538,12.06800146,41.61740222,-97.75326272,70.44825332
139,1.357421875,-3.163255332,3.016432936,11.49434432,32.77160612,-104.4118024,74.20433608
140,1.3671875,-4.228912573,2.030064854,10.58580377,17.99587651,-106.886406,75.53865609
141,1.376953125,-4.414969467,0.259794453,10.04586538,-1.429815998,-105.4278341,67.79456996
142,1.38671875,-4.657759334,-2.126089736,9.063231397,-19.1595953,-106.4155888,63.25848637
143,1.396484375,-5.752206399,-2.306992821,9.215314927,-7.095823739,-115.4759872,56.74998592
144,1.40625,-7.038902333,-0.807994889,9.873849695,11.65646314,-129.9393516,36.06872714
145,1.416015625,-7.355754309,0.24532846,9.567575032,13.28227796,-128.617996,-0.561234459
146,1.42578125,-7.343968138,0.321805514,8.235698134,10.37509423,-120.0969393,-18.12773272
147,1.435546875,-6.875425852,1.381029135,8.144488174,20.64376243,-111.5356773,-12.3698759
148,1.4453125,-6.288047345,2.531661421,9.110011344,22.27044196,-102.6684406,-0.363135381
149,1.455078125,-5.463403131,3.970509193,10.25506832,14.6947744,-100.483922,12.25166376
150,1.46484375,-5.016755446,4.939145103,10.85462908,11.21949883,-96.66883736,22.24059695
151,1.474609375,-4.639722867,5.514520921,11.25845304,16.45134671,-81.35134245,25.46684719
152,1.484375,-4.742333258,5.427539684,11.15199248,24.41072959,-66.83300922,24.0160125
